client_id,cluster,tipo_cliente
14a747c5dac239c80cdf683fe7405679501610480eaa5c73a50d4ee59cf3b51c,0,ativo
14c98d95410852261c18ccf49c2e791c2a446f95c6b443b0dc9e9090cde199d3,3,recorrente
14d26e898ee406965681fd14e98622bcf69cce3807396cba60b5b79d75a9b757,1,unico
14d99b632abc77f2dc3a735386d3f649e098ce8c0bb0300142ac99bac8d1f2b7,3,recorrente
14df612674a668b4a34f11df393249ca7568336c65b5890d1d7eed0a8dde6e12,0,ativo
14f0e40d39906ac455f2e12b8b6566c217fa7a0a18057720c148ec94dd26b2a2,0,ativo
14f472955e709b7a80125005c463ada552f7f11ba231eb28b2443c1832fe899b,1,unico
14f5a04c321519908c495aebb365cc9854c6714f8fcae10bea30b4911cd19305,0,ativo
1501f6aa3338de83041f9cfb27327660349af304d197329d7c3c6877169ab42f,2,novo
15048f12b06e7f89511393997cbb486e3c146db8edc1ffc7847a43e5d4f14ac5,0,ativo
1520da5facda90284e587697885bba72be06b7bf3c83c6aa313d601c0159619f,2,novo
15317322c4dcc3f184f0cc73d33a2f0368e6c7564fbe598686c4f08655539bc0,0,ativo
15341d71428749bbb63ee0fa4212b518752041f801c6485d7fb78c001678f854,2,novo
153faf293327d67c1f3372961570ad7417ce9b0a42e0ffe65c947c9b787efe62,1,unico
155a56b6ca078cd204566d3822476ba0004dc947cb008549c67f678ce23a9c9c,0,ativo
155ab05a93a820b5b1343c7addac1950ef9e0e103e13eb9e52355b688fe01499,3,recorrente
157559e1dd806e0401f1a89ce276331dc31b54af127afc7886d92129c36fa597,3,recorrente
158f41e8627e1dc1f8b52e43786d87159426d2e1ff40e7a89885de02a5cf07d9,1,unico
158f512cfb380c940adab6862380b69a854755c6244c85cdbe4e11177217e983,1,unico
15aa376b0a31d8bb9b6faffd2a53abaa0999071bdd8819e9f3c7a9db9110ed30,3,recorrente
15c9fd832b380151420c140106e711735ae4854d97d5c13296921e11c9169403,3,recorrente
15d6d4c5d7fd3df176e9fedc6320315a366e0661420fbf3ff759d6ba3555cc7c,1,unico
15fe33ecfdbd327d1f6b9f0d6ef807eb0e0cfa6dc8b5db911e3c84fcb775a42f,0,ativo
15ff930a3bd1ec7246aef7232976ab80f3a35ffbf1384f1006590a83eabe6b0b,0,ativo
160da1480c3763a236b03bc2920fb119f07d219d87ec6e3b7f066b866082bf2c,1,unico
16329738a48c9d28949577313989d32c13ce08053c4cbb3ed57d1d7fcbd3b536,3,recorrente
16400865627db51197aac7f9742ab49062191449a4bd7e30f7d9077d6d7eccb0,0,ativo
167859252cefe83e3fd425c4b8dd38580239c6e5eeb881f3f778d1afb3658eef,0,ativo
167f71fec8b9166dd603afec32f41c83aa8751616ef3f9c74c568ba4cc494164,0,ativo
1686e085f6ce092643e87e6976ae42fdfac82940a9ca36ea76a80a418c0db25c,3,recorrente
169e7b3001c93d6d530a8d473f8b1bacc8ed24b005a8dd516fed27073ad170a4,3,recorrente
16c547e6143db7ee0a0bb6654c58c1b346df8e45b71bb1051927975571d1074a,0,ativo
16caf181cf55a7039a6dfbf83e22561e2a75bf273e8daa7fd7b4be0d28e4f224,0,ativo
16d3abf9d8ab6873c758e557f05862fe1f1859dc3fb53ed1f31a44121c320699,0,ativo
16d5c815907c65a1bf82aafe375f7eaee5e2c7eb56e238a1b7676546156eb903,0,ativo
16e3e6abeb1e86661b71cf7bc2bcddb2420a2fd50e2460451e39c0825464630e,0,ativo
1706d5099888c941786c36596b6e022131acd8c4d163b6c5bf0296662d1c560b,0,ativo
1707a3a56257474f532586af6affaa1e9626f5ae34ad404fe8a6d3c765c2bae3,3,recorrente
17427df9b085e934834e8fe1b6bce73f46f75facfa7f91a4e162fa2fe519502d,3,recorrente
1757c821edd87d30635bd37bb3cdd3aebf455bf258756750ad85e20288162b28,3,recorrente
17709289837df0d1a1bcb57ec639d43062ca3dae3264edf89809d11797598142,0,ativo
17a77f45d391d3ad59e93041e31bdc527f53f98dbe027685674236f687b01604,3,recorrente
17c31637f8a7884fe4b5c802456e4fcce080466d34ed27e7765c7a23be6cf368,1,unico
